,Tweets,Labels
0,apple agrees remove music china protests amp recalls tiananmensquaremassacre politics history httpstcofjtfhlimo,-1.0
1,apple recalls plugs uk hong kong singapore httpstcoouslgzbppl,0.0
2,apple academia invite oneday event hosted apple european hq london discover apple httpstcozfjskrxj,1.0
3,microsoft joins apple amp amazon ultra exclusive trillion club buoyed impressive earnings across al httpstcovssrwofr,1.0
4,right time april pm buy new oneplus official discount code gt httpstcooksyhpb,0.0
5,apples cloud business hugely dependent amazon httpstcoreuznvow amazon aws apple cloud businessmodel market,1.0
6,microsoft hits trillion market valuation joining apple amazon us public firms hit httpstcobsiipg,0.0
7,check rabbits feet trista borgwardt read first chapter free asmsg ian iartg spub ibook httpstcogqnvyvvfh,0.0
8,looking getting iphonexs camera follow link find tips help get httpstcowbpztiesax,1.0
9,rightthisminute ipad giveaway entered win rightthisminute amp details httpstcozknrftuon,0.0
10,top health benefits apple cider vinegar apple cider vinegar really help weightloss lower httpstcovullijgvt,1.0
11,apple began recall program certain plug adapters uk please read article httpstcoybcsotg,1.0
12,iphone v androidtimetalk timetalkswansea mobilephones phonerepairs apple iphone samsung android galaxy httpstcovkfqxjihqy,0.0
13,google apple disgusting google apple httpstcojwwriqjgr httpstcoixsfrtac,-1.0
14,best smart speakers httpstcokctwryemrr apple,1.0
15,april pm buy oneplus device official discount code neversettle httpstcohjsmhbswmz,0.0
16,apple threeprong ac wall plug adapter recall program macbook apple httpstcoyzmmygfmkn,0.0
17,rage graphicdesign illustration hanya procreate artistsoninstagram art photomanipulation apple sad httpstcofmrjtwau,-1.0
18,bbc news apple recalls plugs uk hong kong singapore tech mobiles ipads macs httpstcodjjjalwf,0.0
19,dont miss second fav show httpstcoqwdvodalf technology tech innovation business iphone httpstcoaasbltwwr,1.0
20,microsoft leading race apple closely behind httpstcorvjsaby httpstcoaiwxckbw,0.0
21,apple spends office space expand elk grove presence science httpstcofxcwj httpstcoyuqcvxjhx,1.0
22,stars cant wait website development mobileapps india marketing custom gurgaon usa success seo ecommerce httpstcovjiyho,0.0
23,apple actually going read licence agreement first place come apple httpstcoaitscupybd,1.0
24,iphone xr continues dominate us smartphone sales says cirp tomac httpstcozvslhci apple tech,-1.0
25,phone entered water tuesday stopped coming today click link bio whatsapp bac httpstcogbwbgizl,-1.0
26,airpods complete guide apples wireless earphones httpstcopxwblaqqzq apple airpods wireless guide httpstcoijqdumiw,0.0
